us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
477369296,189,292,0.6473,1602,0.0531,-0.002,
477680293,207,429,0.4825,1504,0.0549,0.0046,
477742286,207,429,0.4825,1504,0.0549,0.0046,
477806285,207,429,0.4825,1504,0.0549,0.0046,
477868286,30,83,0.3614,1724,-0.5975,-0.1105,
477930198,30,83,0.3614,1724,-0.5975,-0.1105,
478179286,123,222,0.5541,1650,0.5866,0.1112,
478242308,77,250,0.308,1442,-0.0223,-0.0552,
478304289,77,250,0.308,1442,-0.0223,-0.0552,
478366286,77,250,0.308,1442,-0.0223,-0.0552,
478678286,77,250,0.308,1442,-0.0223,-0.0552,
478741286,77,250,0.308,1442,-0.0223,-0.0552,
478803286,77,250,0.308,1442,-0.0223,-0.0552,
478867046,77,250,0.308,1442,-0.0223,-0.0552,
478930296,77,250,0.308,1442,-0.0223,-0.0552,
478991310,62,171,0.3626,1534,0.0282,0.0201,
479117285,62,171,0.3626,1534,0.0282,0.0201,
479240296,62,171,0.3626,1534,0.0282,0.0201,
479304092,62,171,0.3626,1534,0.0282,0.0201,
479366336,62,171,0.3626,1534,0.0282,0.0201,
479618296,62,171,0.3626,1534,0.0282,0.0201,
479680285,87,246,0.3537,1695,-0.2252,-0.101,
479741286,129,309,0.4175,1536,0.0064,0.0232,
479802535,129,309,0.4175,1536,0.0064,0.0232,
479864296,129,309,0.4175,1536,0.0064,0.0232,
480116290,114,260,0.4385,1392,0.1026,0.0155,
480180286,114,260,0.4385,1392,0.1026,0.0155,
480243295,114,260,0.4385,1392,0.1026,0.0155,
480366285,100,265,0.3774,1359,0.6705,0.1927,
480428007,100,265,0.3774,1359,0.6705,0.1927,
480489287,100,265,0.3774,1359,0.6705,0.1927,
480801285,100,265,0.3774,1359,0.6705,0.1927,
480865103,100,265,0.3774,1359,0.6705,0.1927,
480928290,100,265,0.3774,1359,0.6705,0.1927,
480989286,100,265,0.3774,1359,0.6705,0.1927,
481051499,82,200,0.41,1640,0.0349,0.0311,
481179286,82,200,0.41,1640,0.0349,0.0311,
481242287,82,200,0.41,1640,0.0349,0.0311,
481304286,82,200,0.41,1640,0.0349,0.0311,
481368466,82,200,0.41,1640,0.0349,0.0311,
481431105,82,200,0.41,1640,0.0349,0.0311,
481492286,82,291,0.2818,1536,-0.035,0.0158,
481678289,73,280,0.2607,1516,0.2021,0.0373,
481743404,73,280,0.2607,1516,0.2021,0.0373,
481804285,73,280,0.2607,1516,0.2021,0.0373,
481866296,73,280,0.2607,1516,0.2021,0.0373,
481927286,108,384,0.2812,1371,-0.1272,-0.0218,
